European countries,Study count
Hungary,1
Italy,1
Belgium,2
Denmark,2
Greece,2
Norway,3
France,4
Poland,4
Portugal,4
Swizterland,4
Germany,9
Spain,18
United Kingdom,18
Albania,0
Andorra,0
Armenia,0
Austria,0
Azerbaijan,0
Belarus,0
Bosnia and Herzegovina,0
Bulgaria,0
Croatia,0
Cyprus,0
Czech Republic,0
Estonia,0
Finland,0
Georgia,0
Iceland,0
Ireland,0
Kazakhstan,0
Kosovo,0
Latvia,0
Leichtenstein,0
Lithuania,0
Luxembourg,0
Macedonia,0
Malta,0
Moldova,0
Monaco,0
Montenegro,0
Netherlands,0
Romania,0
Russia,0
San Marino,0
Serbia,0
Slovakia,0
Slovenia,0
Sweden,0
Turkey,0
Ukraine,0
